time,uL,mV,gF,temp,v_end_est,type,thio_t
20250409015440,50.0,391.6,3813983087667.0596,20.0,0.0,sample,21.0
20250409015441,100.0,391.15000000000003,3681900618079.387,20.0,0.0,sample,21.0
20250409015442,150.0,390.02500000000003,3369429353533.2715,20.0,0.0,sample,21.0
20250409015443,200.0,388.84999999999997,3071294089001.933,20.0,0.0,sample,21.0
20250409015444,393.0,383.22066666666666,1969717537869.119,20.0,730.6553476107663,sample,21.0
20250409015445,531.0,378.17199999999997,1322114695998.3403,20.0,767.2026136596777,sample,21.0
20250409015446,567.0,376.444,1153382284584.8503,20.0,781.9502048980892,sample,21.0
20250409015447,682.0,368.6,620366318909.2258,20.0,814.406488234202,sample,21.0
20250409015448,714.0,365.40000000000003,481644186258.1409,20.0,817.6948194879544,sample,21.0
20250409015449,758.0,359.52,302479487560.966,20.0,822.701377405542,sample,21.0
20250409015450,793.0,351.28999999999996,157700939309.92484,20.0,830.7441217993347,sample,21.0
20250409015451,801.0,348.3333333333333,124795746865.0772,20.0,831.4805408159752,sample,21.0
20250409015452,821.0,335.25,44300991264.82866,20.0,831.5867159982174,sample,21.0
20250409015453,827.0,324.3,18617982633.00792,20.0,831.6994591917144,sample,21.0
