time,uL,mV,gF,temp,v_end_est
20180618222406,50.0,391.6,3813993347209.2583,20.0,0.0
20180618222407,100.0,391.15000000000003,3681910518538.94,20.0,0.0
20180618222408,150.0,390.02500000000003,3369438410312.5386,20.0,0.0
20180618222409,200.0,388.85,3071302341264.395,20.0,0.0
20180618222410,393.0,383.22066666666666,1969722822518.5493,20.0,730.6553432502259
20180618222411,531.0,378.17199999999997,1322118239435.6592,20.0,767.2026102621858
20180618222412,567.0,376.444,1153385374950.46,20.0,781.9502019824289
20180618222413,682.0,368.6,620367979661.1328,20.0,814.4064868520437
20180618222414,714.0,365.40000000000003,481645475330.1583,20.0,817.6948188301809
20180618222415,758.0,359.52,302480296845.99243,20.0,822.7013769442149
20180618222416,793.0,351.28999999999996,157701361127.16507,20.0,830.744121657422
20180618222417,801.0,348.3333333333333,124796080647.47304,20.0,831.4805407304622
20180618222418,821.0,335.25,44301109735.5649,20.0,831.5867159702713
20180618222419,827.0,324.3,18618032419.378376,20.0,831.6994591862541
