time,uL,mV,gF,temp,v_end_est
20190615170420,100.0,391.15000000000003,3681910518538.94,20.0,0.0
20190615170421,200.0,388.85,3071302341264.395,20.0,0.0
20190615170422,300.0,386.325,2516722575085.163,20.0,0.0
20190615170423,400.0,382.97333333333336,1931630591824.6836,20.0,0.0
20190615170424,532.0,378.12399999999997,1317113466006.0647,20.0,772.4584245861683
20190615170425,572.0,376.18,1129571419185.4595,20.0,791.5376817439121
20190615170426,692.0,367.6,573190239023.8182,20.0,815.0364480569434
20190615170427,715.0,365.3,477850918756.6549,20.0,817.665775703754
20190615170428,758.0,359.52,302480296845.99243,20.0,822.6318052745848
20190615170429,793.0,351.28999999999996,157701361127.16507,20.0,831.4585800665135
20190615170430,801.0,348.3333333333333,124796080647.47304,20.0,831.4434344693602
20190615170431,821.0,335.25,44301109735.5649,20.0,831.5867159702713
20190615170432,827.0,324.3,18618032419.378376,20.0,831.6994591862541
