botid,vol,water_T,air_T,empty_g,full_g,density_w,density_a,air_g,cal date,Natural comp of air,,
18,130.794 ,20.4,20.0,92.30,222.68,998.1230,1.2709,0.1662302 ,1/23/14,O2,Ar,N2
33,148.406 ,20.6,20.0,92.95,240.88,998.0807,1.2709,0.1886139 ,1/23/14,0.20946,0.00934,0.78084
24,147.918 ,20.7,20.0,93.31,240.75,998.0594,1.2709,0.1879932 ,1/23/14,molar mass of air,g/liter,
32,144.373 ,20.6,20.0,95.72,239.63,998.0807,1.2709,0.1834883 ,1/23/14,28.95436,1.292605357,
36,140.528 ,20.5,20.0,91.83,231.91,998.1019,1.2709,0.1786012 ,1/23/14,,,
A-01,137.88264,20.6,20.0,124.63,262.07,998.0807,1.2709,0.175238944,1/23/14,,,
A-02,141.1260591,20.7,20.0,123.31,263.98,998.0594,1.2709,0.179361097,1/23/14,,,
A-03,143.2058461,20.8,20.0,121.11,263.85,998.0380,1.2709,0.182004357,1/23/14,,,
A-04,138.6841205,20.9,20.0,122.39,260.62,998.0164,1.2709,0.176257568,1/23/14,,,
A-05,135.9723156,20.8,20.0,124.96,260.49,998.0380,1.2709,0.172811058,1/23/14,,,
A-06,143.7576411,20.8,20.0,120.55,263.84,998.0380,1.2709,0.182705649,1/23/14,,,
A-07,139.1621395,20.1,20.0,124.54,263.27,998.1856,1.2709,0.176865096,1/23/14,,,
A-08,139.6036096,19.4,20.0,120.81,260.00,998.3282,1.2709,0.177426172,1/23/14,,,
A-09,138.9807676,19.0,20.0,122.20,260.78,998.4073,1.2709,0.176634585,1/23/14,,,
A-10,138.6544302,18.8,20.0,125.59,263.85,998.4462,1.2709,0.176219834,1/23/14,,,
A-11,140.5617638,18.5,20.0,121.54,261.71,998.5038,1.2709,0.178643918,1/23/14,,,
A-12,141.8426426,18.4,20.0,121.34,262.79,998.5228,1.2709,0.180271823,1/23/14,,,
A-13,139.1747036,15.0,20.0,124.06,262.93,999.1016,1.2709,0.176881064,1/23/14,,,
A-14,137.1829854,13.6,20.0,120.90,257.81,999.3010,1.2709,0.174349733,1/23/14,,,
A-15,132.5910846,14.0,20.0,125.48,257.80,999.2464,1.2709,0.168513756,1/23/14,,,
A-16,139.0662628,14.1,20.0,124.21,262.99,999.2325,1.2709,0.176743243,1/23/14,,,
A-17,140.2927514,14.3,20.0,125.22,265.22,999.2042,1.2709,0.178302022,1/23/14,,,
A-18,145.5199569,14.6,20.0,120.24,265.45,999.1609,1.2709,0.184945425,1/23/14,,,
A-19,133.3800138,14.9,20.0,123.04,256.13,999.1166,1.2709,0.169516429,1/23/14,,,
A-20,140.3236402,15.3,20.0,126.50,266.51,999.0558,1.2709,0.17834128,1/23/14,,,
A-21,139.5963547,15.5,20.0,123.19,262.47,999.0247,1.2709,0.177416952,1/23/14,,,
A-22,138.9649238,15.5,20.0,125.11,263.76,999.0247,1.2709,0.176614449,1/23/14,,,
A-23,137.8233286,16.0,20.0,125.09,262.59,998.9450,1.2709,0.175163563,1/23/14,,,
A-24,140.9653102,16.2,20.0,122.53,263.16,998.9123,1.2709,0.179156796,1/23/14,,,
B-01,138.3166535,20.0,20.0,122.98,260.87,998.2063,1.2709,0.175790544,6/30/14,,,
B-02,140.8745436,20.0,20.0,125.37,265.81,998.2063,1.2709,0.179041438,6/30/14,,,
B-03,140.7341105,20.0,20.0,123.63,263.93,998.2063,1.2709,0.178862958,6/30/14,,,
B-04,140.6037082,20.0,20.0,124.68,264.85,998.2063,1.2709,0.178697226,6/30/14,,,
B-05,142.018071,20.0,20.0,118.96,260.54,998.2063,1.2709,0.18049478,6/30/14,,,
B-06,138.9486028,20.0,20.0,121.74,260.26,998.2063,1.2709,0.176593706,6/30/14,,,
B-07,140.6638939,20.0,20.0,119.92,260.15,998.2063,1.2709,0.178773718,6/30/14,,,
B-08,138.9987576,20.0,20.0,120.30,258.87,998.2063,1.2709,0.176657449,6/30/14,,,
B-09,140.0921302,20.0,20.0,120.49,260.15,998.2063,1.2709,0.178047047,6/30/14,,,
B-10,141.8074212,20.0,20.0,116.40,257.77,998.2063,1.2709,0.180227059,6/30/14,,,
B-11,142.4895252,20.0,20.0,118.11,260.16,998.2063,1.2709,0.181093964,6/30/14,,,
B-12,140.1021611,20.0,20.0,119.17,258.84,998.2063,1.2709,0.178059796,6/30/14,,,
B-13,139.4601809,20.0,20.0,122.37,261.40,998.2063,1.2709,0.177243885,6/30/14,,,
B-14,141.0250078,20.0,20.0,116.67,257.26,998.2063,1.2709,0.179232668,6/30/14,,,
B-15,139.9015423,20.0,20.0,122.25,261.72,998.2063,1.2709,0.177804824,6/30/14,,,
B-16,139.7310163,20.0,20.0,119.14,258.44,998.2063,1.2709,0.177588097,6/30/14,,,
B-17,134.5048957,20.0,20.0,124.87,258.96,998.2063,1.2709,0.170946073,6/30/14,,,
B-18,144.8568274,20.0,20.0,116.66,261.07,998.2063,1.2709,0.184102636,6/30/14,,,
B-19,139.1893454,20.0,20.0,122.42,261.18,998.2063,1.2709,0.176899672,6/30/14,,,
B-20,141.4663692,20.0,20.0,122.38,263.41,998.2063,1.2709,0.179793606,6/30/14,,,
B-21,137.5242091,20.0,20.0,125.18,262.28,998.2063,1.2709,0.174783404,6/30/14,,,
B-22,139.6908925,20.0,20.0,124.08,263.34,998.2063,1.2709,0.177537103,6/30/14,,,
B-23,142.5898346,20.0,20.0,123.17,265.32,998.2063,1.2709,0.18122145,6/30/14,,,
B-24,137.4640235,20.0,20.0,124.31,261.35,998.2063,1.2709,0.174706912,6/30/14,,,
